Player Name,Level,Clan XP earned
Cleobee,100,"15,536"
mid,100,"3,131"
Biggmike0305,100,"6,785"
Lukulllusss22,87,"10,345"
koidragon 6969,100,"14,901"
[CJG],94,"9,131"
taximan233,99,8336
TadpOle,89,"8,027"
fagas,82,"2,566"
Threndian,79,"3,107"
Galencross,77,"1,756"
~Nico Robin~,70,"5,167"
T Lamby,66,7
Boikanyomoss,86,"920,"
akroosthegal,64,"1,882"
Xplosivo666,76,"4,001"
MaverikSTDZ,61,"1,325"
RoyalGuardiann,6,0
Pizdario,66,"3,787"
xmacter,70,560
[VN]coBLin,56,31
Rotem Maymon,67,0
ogSwoleMole,,95
Tazzy-Fn,56,792
Gulpmann,59,625
tlacuacheuwu,59,0
kangomega13,54,261
Tridand,4,535
Obi/Shoyo!,42,4
Joubert000,38,55
